Date,Name,Year,Letterboxd URI,Rating
2024-03-29,Crimes of the Future,2022,https://boxd.it/uTuY,1.5
2024-03-29,EO,2022,https://boxd.it/txhc,3.5
2024-03-29,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,1.5
2024-03-29,Willy's Wonderland,2021,https://boxd.it/nTcG,3
2024-03-29,Guns Akimbo,2019,https://boxd.it/gkFu,2.5
2024-03-29,Custody,2017,https://boxd.it/g6we,4.5
2024-03-30,Collateral,2004,https://boxd.it/28F0,3
2024-03-30,Southpaw,2015,https://boxd.it/9Phu,3.5
2024-03-30,Prince of Darkness,1987,https://boxd.it/1ZKq,3.5
2024-03-31,Air,2023,https://boxd.it/Arlc,3
2024-04-01,Dream Scenario,2023,https://boxd.it/v2h0,3
2024-04-01,I Stand Alone,1998,https://boxd.it/28Au,2
2024-04-01,The Big Short,2015,https://boxd.it/ajZw,2.5
2024-04-01,First Man,2018,https://boxd.it/cPym,3
2024-04-01,Pain and Glory,2019,https://boxd.it/iOBQ,2.5
2024-04-01,The Revenant,2015,https://boxd.it/8H5e,3
2024-04-01,Belleville Cop,2018,https://boxd.it/hSpM,1
2024-04-01,1917,2019,https://boxd.it/jj4y,2.5
2024-04-01,Jojo Rabbit,2019,https://boxd.it/iEBG,3
2024-04-01,While at War,2019,https://boxd.it/jNR6,2
2024-04-01,Se7en,1995,https://boxd.it/29zs,4
2024-04-01,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,2
2024-04-01,The Host,2006,https://boxd.it/28ZY,3.5
2024-04-01,The Gentlemen,2019,https://boxd.it/iYBQ,3.5
2024-04-01,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3
2024-04-01,Primal Fear,1996,https://boxd.it/28ws,3
2024-04-01,Enter the Void,2009,https://boxd.it/1dy2,3.5
2024-04-01,The Hunt,2012,https://boxd.it/3wEC,4
2024-04-01,The Hunt,2020,https://boxd.it/iE9i,3.5
2024-04-01,The Invisible Man,2020,https://boxd.it/kWlA,4
2024-04-01,Terrifier,2016,https://boxd.it/eRzg,3
2024-04-01,The Evil Dead,1981,https://boxd.it/29Go,3.5
2024-04-01,Evil Dead II,1987,https://boxd.it/29Ge,3.5
2024-04-01,QT8: The First Eight,2019,https://boxd.it/no9c,3
2024-04-01,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2024-04-02,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3
2024-04-03,Argylle,2024,https://boxd.it/w1kk,2.5
2024-04-03,Imaginary,2024,https://boxd.it/GyJW,1
2024-04-03,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2024-04-03,Army of Darkness,1992,https://boxd.it/29G4,3
2024-04-03,Memories of Murder,2003,https://boxd.it/1TSo,3.5
2024-04-03,Terminator: Dark Fate,2019,https://boxd.it/96YI,1.5
2024-04-03,Enemy,2013,https://boxd.it/5xtO,3.5
2024-04-03,The Raid,2011,https://boxd.it/3hBy,3.5
2024-04-03,Twin Murders: The Silence of the White City,2019,https://boxd.it/jNHq,0.5
2024-04-04,The Spider Within: A Spider-Verse Story,2023,https://boxd.it/FR76,3
2024-04-04,Watchmen,2019,https://boxd.it/ol5e,3.5
2024-04-04,The Lincoln Lawyer,2011,https://boxd.it/DRM,3
2024-04-04,Da 5 Bloods,2020,https://boxd.it/lnXw,3
2024-04-04,The Godfather,1972,https://boxd.it/2aNK,4.5
2024-04-04,The Godfather Part II,1974,https://boxd.it/2aNq,4
2024-04-07,Pierrot le Fou,1965,https://boxd.it/26j2,2
2024-04-08,The First Omen,2024,https://boxd.it/fx08,3
2024-04-09,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,4.5
2024-04-13,Love Lies Bleeding,2024,https://boxd.it/zN4q,3.5
2024-04-15,Monkey Man,2024,https://boxd.it/kvsO,3.5
2024-04-15,Ford v Ferrari,2019,https://boxd.it/ce74,3.5
2024-04-15,Drive,2011,https://boxd.it/IG,3.5
2024-04-15,7500,2019,https://boxd.it/iqZY,1.5
2024-04-15,Ex Machina,2015,https://boxd.it/7T2k,3
2024-04-15,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2024-04-15,Boogie Nights,1997,https://boxd.it/23um,4
2024-04-22,Civil War,2024,https://boxd.it/z1jW,3.5
2024-04-27,The Fall Guy,2024,https://boxd.it/s0Bm,3
2024-04-28,Suspiria,2018,https://boxd.it/cioI,4.5
2024-04-29,Suspiria,1977,https://boxd.it/1SNW,3
2024-04-30,Challengers,2024,https://boxd.it/zld0,3
2024-05-18,Punch-Drunk Love,2002,https://boxd.it/20E4,3
2024-05-18,Prisoners,2013,https://boxd.it/4E5i,4
2024-06-07,Nocturnal Animals,2016,https://boxd.it/bkFu,3.5
2024-06-07,The Lego Movie,2014,https://boxd.it/4pDO,4
2024-07-16,Hit Man,2023,https://boxd.it/ANB2,3.5
2024-07-16,A Quiet Place: Day One,2024,https://boxd.it/sDAi,3
2024-07-16,Despicable Me 4,2024,https://boxd.it/iOLG,3
2024-07-16,The Zone of Interest,2023,https://boxd.it/gJsA,3.5
2024-07-19,The Party,2017,https://boxd.it/eEVS,2.5
2024-07-20,Upon Entry,2022,https://boxd.it/DMP4,4
2024-07-22,The Guernsey Literary & Potato Peel Pie Society,2018,https://boxd.it/g68w,2
2024-07-23,Fallen Leaves,2023,https://boxd.it/Bgew,4
2024-07-25,The Last Letter from Your Lover,2021,https://boxd.it/nGzM,2
2024-07-28,About Time,2013,https://boxd.it/43bI,4
2024-07-29,Deadpool & Wolverine,2024,https://boxd.it/jq8s,2
2024-08-07,MaXXXine,2024,https://boxd.it/CIM4,2.5
2024-08-07,La Chimera,2023,https://boxd.it/vzVi,3
2024-08-08,Boiling Point,2023,https://boxd.it/J00O,4
2024-08-08,After Hours,1985,https://boxd.it/1VfS,3.5
2024-08-09,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,3
2024-08-10,Longlegs,2024,https://boxd.it/KzLM,4
2024-08-10,The Lives of Others,2006,https://boxd.it/2a4A,4
2024-08-11,Trap,2024,https://boxd.it/D4nK,3
2024-08-13,Top Gun: Maverick,2022,https://boxd.it/cjr4,3.5
2024-08-13,Before Sunrise,1995,https://boxd.it/2bcU,3
2024-08-14,Apocalypse Now,1979,https://boxd.it/6ZS,4
2024-08-14,The Father,2020,https://boxd.it/m8Ie,1.5
2024-08-14,Magnolia,1999,https://boxd.it/2aze,3.5
2024-08-14,12 Angry Men,1957,https://boxd.it/2auI,3.5
2024-08-14,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,1.5
2024-08-14,The Traitor,2019,https://boxd.it/l8d4,3.5
2024-08-14,Inherent Vice,2014,https://boxd.it/5hla,1.5
2024-08-14,El crack,1981,https://boxd.it/fau,1.5
2024-08-14,El crack dos,1983,https://boxd.it/f18,1
2024-08-14,Little Women,2019,https://boxd.it/aSVk,4
2024-08-14,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,1.5
2024-08-15,Breaking the Waves,1996,https://boxd.it/2b1W,3.5
2024-08-15,American Psycho,2000,https://boxd.it/28Vs,3
2024-08-15,The Boss of It All,2006,https://boxd.it/23dq,3
2024-08-16,There Will Be Blood,2007,https://boxd.it/20Z2,2.5
2024-08-16,Antichrist,2009,https://boxd.it/1Inu,4
