user_id,movie_title,weight
letterboxd-mariohervas-2026-03-04-17-51-utc,bottoms,0.047333
letterboxd-mariohervas-2026-03-04-17-51-utc,the creator,0.048117
letterboxd-mariohervas-2026-03-04-17-51-utc,saw x,0.049049
letterboxd-mariohervas-2026-03-04-17-51-utc,jigsaw,0.049049
letterboxd-mariohervas-2026-03-04-17-51-utc,killers of the flower moon,0.076241
letterboxd-mariohervas-2026-03-04-17-51-utc,halloween ends,0.008802
letterboxd-mariohervas-2026-03-04-17-51-utc,five nights at freddy's,0.052815
letterboxd-mariohervas-2026-03-04-17-51-utc,skinamarink,0.07042
letterboxd-mariohervas-2026-03-04-17-51-utc,terrifier 2,0.03521
letterboxd-mariohervas-2026-03-04-17-51-utc,fractured,0.036587
letterboxd-mariohervas-2026-03-04-17-51-utc,something is about to happen,0.009197
letterboxd-mariohervas-2026-03-04-17-51-utc,the perfect family,0.009324
letterboxd-mariohervas-2026-03-04-17-51-utc,a simple favor,0.046619
letterboxd-mariohervas-2026-03-04-17-51-utc,barbie,0.05625
letterboxd-mariohervas-2026-03-04-17-51-utc,another round,0.075
letterboxd-mariohervas-2026-03-04-17-51-utc,godzilla minus one,0.079442
letterboxd-mariohervas-2026-03-04-17-51-utc,aquaman and the lost kingdom,0.02019
letterboxd-mariohervas-2026-03-04-17-51-utc,anatomy of a fall,0.070664
letterboxd-mariohervas-2026-03-04-17-51-utc,father there is only one,0.030284
letterboxd-mariohervas-2026-03-04-17-51-utc,la jetée,0.083916
letterboxd-mariohervas-2026-03-04-17-51-utc,the beasts,0.096234
letterboxd-mariohervas-2026-03-04-17-51-utc,poor things,0.066847
letterboxd-mariohervas-2026-03-04-17-51-utc,edge of winter,0.04481
letterboxd-mariohervas-2026-03-04-17-51-utc,escape from new york,0.072375
letterboxd-mariohervas-2026-03-04-17-51-utc,decision to leave,0.0965
letterboxd-mariohervas-2026-03-04-17-51-utc,the informer,0.06148
letterboxd-mariohervas-2026-03-04-17-51-utc,dune,0.14396
letterboxd-mariohervas-2026-03-04-17-51-utc,perfect days,0.087499
letterboxd-mariohervas-2026-03-04-17-51-utc,the holdovers,0.089193
letterboxd-mariohervas-2026-03-04-17-51-utc,road house,0.064588
letterboxd-mariohervas-2026-03-04-17-51-utc,dune: part two,0.116898
letterboxd-mariohervas-2026-03-04-17-51-utc,the others,0.09092
letterboxd-mariohervas-2026-03-04-17-51-utc,john wick: chapter 4,0.09117
letterboxd-mariohervas-2026-03-04-17-51-utc,gran turismo,0.07836
letterboxd-mariohervas-2026-03-04-17-51-utc,heat,0.10448
letterboxd-mariohervas-2026-03-04-17-51-utc,anyone but you,0.078575
letterboxd-mariohervas-2026-03-04-17-51-utc,judas and the black messiah,0.091671
letterboxd-mariohervas-2026-03-04-17-51-utc,eastern promises,0.052383
letterboxd-mariohervas-2026-03-04-17-51-utc,the iron claw,0.091671
letterboxd-mariohervas-2026-03-04-17-51-utc,crimes of the future,0.039395
letterboxd-mariohervas-2026-03-04-17-51-utc,eo,0.091922
letterboxd-mariohervas-2026-03-04-17-51-utc,prisoners of the ghostland,0.039395
letterboxd-mariohervas-2026-03-04-17-51-utc,willy's wonderland,0.078791
letterboxd-mariohervas-2026-03-04-17-51-utc,guns akimbo,0.065659
letterboxd-mariohervas-2026-03-04-17-51-utc,custody,0.118186
letterboxd-mariohervas-2026-03-04-17-51-utc,collateral,0.079007
letterboxd-mariohervas-2026-03-04-17-51-utc,southpaw,0.092174
letterboxd-mariohervas-2026-03-04-17-51-utc,prince of darkness,0.092174
letterboxd-mariohervas-2026-03-04-17-51-utc,air,0.079223
