title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
footloose,Footloose,1788,1984,Herbert Ross,Drama|Romance,dancing|dance|dancer|dance teacher|father daughter relationship|amused,,,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock after discovering he's living in a place where music and dancing are illegal.",4.2008,6.686,https://letterboxd.com/film/footloose/
ford v ferrari,Ford v Ferrari,359724,2019,James Mangold,Drama|Action|History,based on novel or book|car race|sports|car mechanic|biography|based on true story|le mans|racing|race car driver|frantic|1960s|motorsport|excited|exhilarated,,,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours ",11.9604,8.005,https://letterboxd.com/film/ford-v-ferrari/
former cult member hears music for the first time,Former Cult Member Hears Music for the First Time,654980,2020,Kristoffer Borgli,Drama|Comedy,short film,,,"After a woman escapes the captivity of her abusive family, a magazine invites her to a journalistic experiment: to hear music for the first time.",0.2772,5.778,https://letterboxd.com/film/former-cult-member-hears-music-for-the-first-time/
forrest gump,Forrest Gump,13,1994,Robert Zemeckis,Comedy|Drama|Romance,"new year's eve|vietnam war|vietnam veteran|mentally disabled|friendship|usa president|washington dc, usa|post-traumatic stress disorder (ptsd)|waitress|based on novel or book|hippie|single parent|parent child relationship|optimism|1970s|drug addiction|autism|alabama|black panther party|bus stop",,,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",24.0912,8.464,https://letterboxd.com/film/forrest-gump/
four weddings and a funeral,Four Weddings and a Funeral,712,1994,Mike Newell,Comedy|Drama|Romance,friendship|marriage proposal|love of one's life|england|wedding vows|funeral|upper class|love at first sight|yuppie|marriage|lone wolf|snob|witness|bride|bridegroom|bridesmaid|clumsy fellow|fear of commitment|unrequited love|wedding,,,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",4.6611,6.773,https://letterboxd.com/film/four-weddings-and-a-funeral/
fractured,Fractured,568091,2019,Brad Anderson,Thriller|Drama,gas station|hospital|doctor|police officer|alcoholic|accident,,,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ra",4.0606,6.753,https://letterboxd.com/film/fractured/
frances ha,Frances Ha,121986,2013,Noah Baumbach,Comedy|Drama,"new york city|friendship|dancer|paris, france|freedom|loneliness|best friend|black and white|urban setting|responsibility|mumblecore|sacramento|dance teacher|millennials|late coming of age|dance show|joy|sincere",,,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",2.836,7.335,https://letterboxd.com/film/frances-ha/
frankenstein,Frankenstein,1062722,2025,Guillermo del Toro,Drama|Fantasy|Horror,monster|based on novel or book|supernatural|surgeon|mad scientist|reanimation|father son relationship|mother son relationship|frankenstein,,,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",33.0827,7.653,https://letterboxd.com/film/frankenstein/
frozen ii,Frozen II,330457,2019,"Jennifer Lee, Chris Buck",Family|Animation|Adventure|Comedy|Fantasy,princess|magic|kingdom|winter|queen|castle|musical|sequel|dam|spirit|aftercreditsstinger|frozen|personification|thoughtful|mother daughter relationship|compassionate,,,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",10.8399,7.233,https://letterboxd.com/film/frozen-ii/
full metal jacket,Full Metal Jacket,600,1987,Stanley Kubrick,Drama|War,rescue|sniper|vietnam war|suicide|vietnam|helicopter|army|prostitute|based on novel or book|propaganda|war correspondent|journalism|recruit|infantry|war photographer|boot camp|jungle|sergeant|racism|genocide,,,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,8.8234,8.119,https://letterboxd.com/film/full-metal-jacket/
funny games,Funny Games,10234,1997,Michael Haneke,Drama|Horror|Thriller,lake|sadism|psychopath|hostage-taking|remote control|sociopath|breaking the fourth wall|serial killer|psychological thriller|family holiday|golf club|torment|voyeurism|grim|wealthy family|lake house|children in danger|psychological horror|sinister|sardonic,,,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",5.3782,7.303,https://letterboxd.com/film/funny-games/
furiosa: a mad max saga,Furiosa: A Mad Max Saga,786892,2024,George Miller,Action|Science Fiction|Adventure,chase|post-apocalyptic future|warlord|prequel|wasteland|spin off|struggle for survival|desert|tyrant|tyranny|masculinity|grim|revenge murderer|mother daughter relationship|anxious|child abduction|car|bold|brisk,,,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must sur",15.8514,7.453,https://letterboxd.com/film/furiosa-a-mad-max-saga/
game night,Game Night,445571,2018,"John Francis Daley, Jonathan Goldstein",Mystery|Comedy|Crime,jealousy|husband wife relationship|married couple|sarcasm|dark comedy|insult|revenge|neighbor|dog|game|group of friends|corvette stingray|creepy neighbor|aftercreditsstinger|embarrasment|brother brother relationship|board games|high concept,,,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to lear",7.2559,6.846,https://letterboxd.com/film/game-night/
gattaca,Gattaca,782,1997,Andrew Niccol,Thriller|Science Fiction|Mystery|Romance,genetics|cheating|paraplegic|suicide attempt|dystopia|dna|new identity|investigation|heart disease|spaceman|fraud|space travel|fake identity|in vitro fertilisation|biotechnology|space mission|space|astronaut|swimming|exercise,,,"Vincent is an all-too-human man who dares to defy a system obsessed with genetic perfection. He is an ""In-Valid"" who assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation.",8.256,7.566,https://letterboxd.com/film/gattaca/
geek charming,Geek Charming,81250,2011,Jeffrey Hornaday,Comedy|Drama|Family|TV Movie,high school|based on novel or book|unlikely lovers|documentary filmmaking|teenage romance|popular girl|based on young adult novel|film geek,,,"Film geek Josh is looking for the subject of his new documentary when a chance meeting puts the perfect star in his sights—Dylan, his school's most popular junior. But Dylan's hopes of using the film to become Blossom Queen don't quite match with Josh's goal to make a hard-hitting exposé about popul",2.0231,6.7,https://letterboxd.com/film/geek-charming/
generation wealth,Generation Wealth,493014,2018,Lauren Greenfield,Documentary,capitalism|materialism|consumerism|late stage capitalism,,,"Over the past 25 years, Lauren Greenfield's documentary photography and film projects have explored youth culture, gender, body image, and affluence. Underscoring the ever-increasing gap between the haves and the have-nots, portraits reveal a focus on cultivating image over substance, where subjects",0.6115,6.5,https://letterboxd.com/film/generation-wealth/
get a clue,Get a Clue,26189,2002,Maggie Greenwald,Family|Comedy|Mystery|TV Movie,missing person|woman director|young detective,,,"A wealthy student with too much fashion sense, her equally rich friends, and her rival/superior from the school paper work together to solve the case when their teacher goes missing.",1.4354,5.3,https://letterboxd.com/film/get-a-clue/
get out,Get Out,419430,2017,Jordan Peele,Mystery|Thriller|Horror,kidnapping|externally controlled action|manipulation|dark comedy|hypnosis|parents-in-law|satire|racist|revenge|interracial relationship|disappearance|racism|psychological thriller|neurosurgeon|missing person|stereotype|brain surgery|satirical|race-conscious|anxious,,,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries l",18.676,7.622,https://letterboxd.com/film/get-out/
ghost world,Ghost World,1548,2001,Terry Zwigoff,Comedy|Drama,female friendship|based on comic|high school graduation|best friend|high school friends|social outcast|art class|record collector|plaster|personal ad|blues music|nunchaku|prank telephone call|aftercreditsstinger|depressing,,,"Two quirky, cynical teenaged girls try to figure out what to do with their lives after high school graduation. After they play a prank on an eccentric, middle aged record collector, one of them befriends him, which causes a rift in the girls’ friendship.",2.9193,7.091,https://letterboxd.com/film/ghost-world/
ghostland,Ghostland,476299,2018,Pascal Laugier,Horror|Mystery|Thriller,insanity|hallucination|torture|reality vs fantasy,,,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange...",4.3876,7.393,https://letterboxd.com/film/ghostland/
gilmore girls: a year in the life,gilmore girls: a year in the life,,,,,,,,,,,https://letterboxd.com/film/gilmore-girls-a-year-in-the-life/
"girl, interrupted","Girl, Interrupted",3558,1999,James Mangold,Drama,based on novel or book|escape|suicide attempt|identity|insanity|female friendship|based on true story|borderline personality disorder|psychiatric hospital|mental institution|female protagonist|based on memoir or autobiography|psychiatrist|mental illness|psychiatric ward|meditative|medical drama|1960s|introspective|compassionate,,,"Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out",21.5547,7.564,https://letterboxd.com/film/girl-interrupted/
gladiator ii,Gladiator II,558449,2024,Ridley Scott,Action|Adventure|Drama,gladiator|roman empire|ancient rome|sequel|3rd century|evil tyrant|sword and sandal|sword fighting|second part,,,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look t",14.0227,6.617,https://letterboxd.com/film/gladiator-ii/
glass,Glass,450465,2019,M. Night Shyamalan,Thriller|Drama|Science Fiction,"philadelphia, pennsylvania|superhero|villain|sequel|psychiatric hospital|comic book shop|super power|mental illness|multiple personality|dissociative identity disorder|surveillance specialist|wonder",,,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",8.3256,6.664,https://letterboxd.com/film/glass/
glass onion,Glass Onion: A Knives Out Mystery,661374,2022,Rian Johnson,Comedy|Crime|Mystery,detective|greece|investigation|mona lisa (la gioconda)|dark comedy|satire|sequel|murder|billionaire|whodunit|puzzle box|clue|identical twin|murder mystery|arrested development|closeted homosexual|covid-19|offbeat|witty|complicated,,,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,9.08,7.033,https://letterboxd.com/film/glass-onion/
god help the girl,God Help the Girl,245859,2014,Stuart Murdoch,Comedy|Drama|Music,musical|anorexia|psychiatric hospital|pop music|lifeguard|band|glasgow,,,"Eve is a catastrophe—low on self-esteem but high on fantasy, especially when it comes to music. Over the course of one Glasgow summer, she meets two similarly rootless souls: posh Cass and fastidious James, and together they form a band.",0.6057,6.6,https://letterboxd.com/film/god-help-the-girl/
godzilla minus one,Godzilla Minus One,940721,2023,Takashi Yamazaki,Science Fiction|Horror|Action,monster|loss of loved one|giant monster|kamikaze|duty|atomic bomb test|radioactivity|naval combat|reboot|kaiju|macabre|duringcreditsstinger|post war japan|1940s|naval battle|naval battleship|survivor's guilt|found family|godzilla|war orphan,,,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",10.7506,7.574,https://letterboxd.com/film/godzilla-minus-one/
godzilla vs. kong,Godzilla vs. Kong,399566,2021,Adam Wingard,Action|Science Fiction|Adventure,giant monster|dinosaur|creature feature|kaiju|sign languages|giant ape|godzilla|robot dinosaur|king kong|cliché,,,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",9.4986,7.5,https://letterboxd.com/film/godzilla-vs-kong/
gone girl,Gone Girl,210577,2014,David Fincher,Mystery|Thriller|Drama,infidelity|based on novel or book|wife|marriage crisis|investigation|disappearance|psychological thriller|whodunit|cynical|missing person|search party|criminal lawyer|murder suspect|missing wife|perspective|manipulative woman|toxic relationship|revenge thriller|killed during sex|hate,,,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",21.1788,7.89,https://letterboxd.com/film/gone-girl/
good boy,Good Boy,1381027,2026,Jan Komasa,Thriller|Drama|Mystery,kidnapping|paranoid|family life|toxic relationship|toxic family|dramatic|complicated|harsh|sympathetic,,,"Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfold",16.8019,7.326,https://letterboxd.com/film/good-boy/
"good luck to you, leo grande","Good Luck to You, Leo Grande",758330,2022,Sophie Hyde,Romance|Drama,hotel room|widow|sexual repression|sexual desire|older woman younger man relationship|sexual awakening|woman director|sex worker|sexual encounter|nervousness|self image|sex|adventure|retired teacher,,,"Nancy Stokes, a retired schoolteacher, is pretty sure she has never had good sex. Now that her husband has died, she is determined to take a tour of sexual vistas that until now she has only imagined. She even has a plan; it involves an anonymous hotel room, and a sex worker who calls himself Leo Gr",5.8822,7.0,https://letterboxd.com/film/good-luck-to-you-leo-grande/
good omens,Good Omens: Lockdown,699240,2020,Douglas Mackinnon,Comedy|Fantasy,lockdown|good omens,,,Aziraphale and Crowley talk over the phone about how they're dealing with the lockdown during the COVID-19 pandemic.,0.8341,7.8,https://letterboxd.com/film/good-omens/
good time,Good Time,429200,2017,"Josh Safdie, Benny Safdie",Crime|Thriller|Drama,prison|mentally disabled|new york city|brother|bank robber|wheelchair|on the run|hospital|drugs|foot chase|security guard|amusement park|one night|botched robbery|acid|dreary|adoring,,,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",4.0701,7.2,https://letterboxd.com/film/good-time/
good will hunting,Good Will Hunting,489,1997,Gus Van Sant,Drama,"boston, massachusetts|mathematics|genius|male friendship|flashback|psychologist|janitor|dating|courtroom|group of friends|southie|thoughtful|college professor|reflective|prodigy|math genius|loving|inspirational|foster kid|fear of change",,,"Will Hunting is a headstrong, working-class genius who is failing the lessons of life. After one too many run-ins with the law, Will's last chance is a psychology professor, who might be the only man who can reach him.",13.5163,8.159,https://letterboxd.com/film/good-will-hunting/
goodfellas,GoodFellas,769,1990,Martin Scorsese,Drama|Crime,"prison|florida|new york city|based on novel or book|gangster|mass murder|drug trafficking|1970s|irish-american|gore|biography|based on true story|murder|organized crime|mafia|brooklyn, new york city|crime epic|tampa, florida",,,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",25.2977,8.453,https://letterboxd.com/film/goodfellas/
gosford park,Gosford Park,5279,2001,Robert Altman,Drama|Mystery|Thriller,england|servant|butler|lordship|country estate|inspector|industrialist|money|murder|countess|maid|housekeeper|valet|shooting party|illegitimate child|dark secret|child given up for adoption|master servant relationship|upstairs downstairs|1930s,,,"In 1930s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",3.9601,6.819,https://letterboxd.com/film/gosford-park/
gran turismo,Gran Turismo,980489,2023,Neill Blomkamp,Adventure|Drama|Action,sports|based on true story|racing|based on video game|duringcreditsstinger|motorsport,,,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,8.8731,7.708,https://letterboxd.com/film/gran-turismo/
grease,Grease,621,1978,Randal Kleiser,Romance|Comedy,australia|high school|flying car|california|jealousy|street gang|cheerleader|dance competition|carnival|musical|based on play or musical|rivalry|high school graduation|high school friends|tv show in film|gossip|makeover|clique|greaser|school dance,,,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",10.2951,7.371,https://letterboxd.com/film/grease/
green book,Green Book,490132,2018,Peter Farrelly,Drama|Comedy|History,friendship|southern usa|based on true story|road trip|racism|pianist|driver|lgbt|road movie|music tour|1960s|roadtrip|gay theme|feel good|empathetic|hopeful,,,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",16.6781,8.223,https://letterboxd.com/film/green-book/
green room,The Green Room,8070,1978,François Truffaut,Drama,dying and death|france|world war i,,,"A widower maintains a memorial room filled with his late wife's belongings. When fire destroys it, he transforms a chapel into a new shrine to preserve her memory.",1.4554,6.6,https://letterboxd.com/film/green-room/
greenland,Greenland,524047,2020,Ric Roman Waugh,Action|Adventure|Thriller|Science Fiction,"husband wife relationship|panic|kidnapping|looting|natural disaster|state of emergency|comet|end of the world|meteorite|disaster|apocalypse|destruction of planet|diabetic|army base|emergency|greenland|atlanta, georgia|amused",,,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse a",18.4648,7.127,https://letterboxd.com/film/greenland/
groundhog day,Groundhog Day,137,1993,Harold Ramis,Romance|Fantasy|Comedy,"deja vu|groundhog|weather forecast|telecaster|pennsylvania, usa|alarm clock|winter|time warp|holiday|time loop|magic realism|existentialism|groundhog day|february|viagem no tempo|admiring|adoring|nevasca|corretor de seguros",,,"A cynical TV weatherman, along with his idealistic producer and his sardonic cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",9.6869,7.627,https://letterboxd.com/film/groundhog-day/
guardians of the galaxy vol. 2,Guardians of the Galaxy Vol. 2,283995,2017,James Gunn,Science Fiction|Adventure|Action,superhero|based on comic|sequel|misfit|space|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|egotistical,,,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,17.8711,7.609,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/
gummo,Gummo,18415,1997,Harmony Korine,Drama|Comedy,tornado|dark comedy|male friendship|ohio|suburbia|vulgarity|prostitution|home invasion|blunt|albino|glue sniffing|animal cruelty|sister sister relationship|earnest,,,"Teenagers Solomon and Tummler kill time in Xenia, Ohio, a small town that has never recovered from the tornado that ravaged the community in the 1970s.",2.1253,6.638,https://letterboxd.com/film/gummo/
guns akimbo,Guns Akimbo,457335,2020,Jason Lei Howden,Action|Comedy|Crime|Thriller,hero|gladiator fight|website|bad cop|gunfight|body mutilation|death match|homeless man|computer programmer|live stream|guns|rescue from fire|viral|shooting|death game|violence,,,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",2.5469,6.441,https://letterboxd.com/film/guns-akimbo/
hairspray,Hairspray,2976,2007,Adam Shankman,Comedy|Romance|Drama,"dance|dreams|baltimore, usa|race politics|musical|based on play or musical|equality|school party|integration|overweight woman|remake|teen movie|agoraphobia|based on movie|suspicion of adultery|man in drag|1960s|dance show|fat shaming",,,"Pleasantly plump teenager Tracy Turnblad auditions to be on Baltimore's most popular dance show - The Corny Collins Show - and lands a prime spot. Through her newfound fame, she becomes determined to help her friends and end the racial segregation that has been a staple of the show.",4.0396,6.66,https://letterboxd.com/film/hairspray/
halloween ends,Halloween Ends,616820,2022,David Gordon Green,Horror|Thriller,mask|sadism|radio station|psychopath|homicide|insanity|trauma|halloween|forbidden love|babysitter|illinois|bullying|sequel|halloween party|rampage|serial killer|slasher|accidental death|multiple stabbings|motorcycle,,,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t",3.7619,6.0,https://letterboxd.com/film/halloween-ends/
hamnet,Hamnet,858024,2025,Chloé Zhao,Drama|Romance|History,based on novel or book|grief|historical fiction|death in family|motherhood|woman director|16th century|period film|wistful|depressing|based on real person,,,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",21.535,7.724,https://letterboxd.com/film/hamnet/
hannah and her sisters,Hannah and Her Sisters,5143,1986,Woody Allen,Comedy|Drama,new york city|opera|writing|artist|thanksgiving|hypochondriac|dysfunctional family|langham|television producer|architecture|singing|writer|relationship|love affair|art|extramarital affair|fear of dying|sisters|three sisters,,,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",3.0509,7.482,https://letterboxd.com/film/hannah-and-her-sisters/
hannibal,Hannibal,9740,2001,Ridley Scott,Crime|Drama|Thriller,"based on novel or book|venice, italy|fbi|manipulation|sequel|serial killer|psychological thriller|cannibal|child molester|blunt|forensic|macabre|aftercreditsstinger|gruesome|disturbed|cannibalism|self-cannibalism|psychological horror|evil man|hannibal lecter",,,"After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who i",1.6423,6.774,https://letterboxd.com/film/hannibal/
harakiri,Harakiri,174958,1919,Fritz Lang,Drama,,,,"The daughter of a daimyo, one forced to commit harakiri to secure her a future to choose her own destiny, falls in love with and marries a European officer. The officer returns to Europe but promises to come back for her and his new child, but when he comes back to Japan, he brings his European wife",0.5486,5.8,https://letterboxd.com/film/harakiri/
harry potter and the chamber of secrets,Harry Potter and the Chamber of Secrets,672,2002,Chris Columbus,Adventure|Fantasy,witch|flying car|elves|magic|sword|diary|child hero|school of witchcraft|giant spider|black magic|giant snake|ghost|child driving car|wizard|aftercreditsstinger|christmas|based on young adult novel|excited|hopeful|teen fantasy,,,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's ma",24.1003,7.703,https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/
harry potter and the deathly hallows: part 1,Harry Potter and the Deathly Hallows: Part 1,12444,2010,David Yates,Adventure|Fantasy,"witch|friendship|london, england|corruption|escape|teleportation|isolation|magic|bravery|radio|road trip|shelter|tension|attack|werewolf|ghost|road movie|wizard|christmas|based on young adult novel",,,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",19.7506,7.7,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-1/
harry potter and the deathly hallows: part 2,Harry Potter and the Deathly Hallows: Part 2,12445,2011,David Yates,Adventure|Fantasy,witch|dying and death|saving the world|self sacrifice|magic|school of witchcraft|sorcerer|school|battle|ghost|wizard|teenage hero|christmas|based on young adult novel|good versus evil|dramatic|appreciative|excited|teen fantasy,,,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",20.9492,8.1,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
harry potter and the goblet of fire,Harry Potter and the Goblet of Fire,674,2005,Mike Newell,Adventure|Fantasy,witch|dying and death|based on novel or book|magic|boarding school|world cup|maze|mermaid|school of witchcraft|black magic|chosen one|sequel|vision|school|tournament|dragon|ghost|wizard|teenage hero|christmas,,,"When his name emerges from the Goblet of Fire, Harry Potter becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons, ",24.241,7.801,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
harry potter and the half-blood prince,Harry Potter and the Half-Blood Prince,767,2009,David Yates,Adventure|Fantasy,"witch|dying and death|london, england|magic|school of witchcraft|sequel|apparition|curse|teenage crush|school|werewolf|teenage love|luck|ghost|wizard|secret past|christmas|based on young adult novel|inspirational|dramatic",,,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock ",22.5228,7.7,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
harry potter and the order of the phoenix,Harry Potter and the Order of the Phoenix,675,2007,David Yates,Adventure|Fantasy,witch|dying and death|court|magic|prophecy|loss of loved one|professor|supernatural|child hero|school of witchcraft|black magic|sorcery|coming of age|occult|ghost|wizard|christmas|scholar|mystical land|ministry,,,"Returning for his fifth year at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of motivated students to defend themselves against the Dark Arts.",22.1603,7.7,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
harry potter and the philosopher's stone,Harry Potter and the Philosopher's Stone,671,2001,Chris Columbus,Adventure|Fantasy,"witch|school friend|friendship|london, england|based on novel or book|magic|boarding school|male friendship|child hero|school of witchcraft|chosen one|bullying|school|ghost|fantasy world|wizard|pre-teen|children's adventure|based on young adult novel|found family",,,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's k",36.1525,7.897,https://letterboxd.com/film/harry-potter-and-the-philosophers-stone/
harry potter and the prisoner of azkaban,Harry Potter and the Prisoner of Azkaban,673,2004,Alfonso Cuarón,Adventure|Fantasy,witch|school friend|friendship|flying|magic|bus|traitor|child hero|school of witchcraft|black magic|time travel|school|best friend|werewolf|muggle|ghost|wizard|aftercreditsstinger|magical creature|night bus,,,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-W",22.0561,8.008,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
heads of state,Heads of State,749170,2025,Ilya Naishuller,Action|Thriller|Comedy,usa president|head of state|mi6|british prime minister|duringcreditsstinger|hilarious|amused,,,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a",11.6192,6.817,https://letterboxd.com/film/heads-of-state/
heat,Heat,949,1995,Michael Mann,Crime|Drama|Action,"robbery|chase|obsession|detective|heist|thief|honor|murder|betrayal|gang|los angeles, california|cat and mouse|bank robbery|criminal mastermind|cynical|ex-con|one last job|loner|bank job|neo-noir",,,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse g,16.8482,7.931,https://letterboxd.com/film/heat/
