title_normalized,title_original,tmdb_id,year,director,tmdb_genres,tmdb_keywords,nanogenres,themes,overview,popularity,vote_average,lb_url
the king of staten island,The King of Staten Island,579583,2020,Judd Apatow,Comedy|Drama,"tattoo|slacker|stoner|semi autobiographical|staten island, new york city|firefighter",,,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still l",2.379,7.0,https://letterboxd.com/film/the-king-of-staten-island/
the king's speech,The King's Speech,45269,2010,Tom Hooper,Drama|History,great britain|world war ii|marriage|stutter|monarchy|palace|radio|radio transmission|royal family|biography|based on true story|death of father|speech|royalty|historical fiction|period drama|king of england|1930s|british royal family|british monarchy,,,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech thera",6.318,7.733,https://letterboxd.com/film/the-kings-speech/
the kingdom,The Kingdom,4349,2007,Peter Berg,Thriller|Action|Drama,assassin|saudi arabia|assassination|police|chase|explosive|fbi|investigation|medical examiner|terrorism|arab|angry|bomb attack|critical,,,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,3.4058,6.729,https://letterboxd.com/film/the-kingdom/
the kissing booth,The Kissing Booth,454983,2018,Vince Marcello,Romance|Comedy,"based on novel or book|crush|los angeles, california|high school student|based on young adult novel",,,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",7.5115,7.165,https://letterboxd.com/film/the-kissing-booth/
the last letter from your lover,The Last Letter from Your Lover,638449,2021,Augustine Frizzell,Drama|Romance,"london, england|based on novel or book|cheating|manipulation|love letter|french riviera|memory loss|car accident|love affair|nonlinear timeline|female journalist|woman director|1960s",,,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,2.4855,7.3,https://letterboxd.com/film/the-last-letter-from-your-lover/
the lego movie,The Lego Movie,137106,2014,"Phil Lord, Christopher Miller",Animation|Family|Adventure|Comedy|Fantasy,friendship|parent child relationship|prophecy|superhero|villain|based on comic|part live action|based on toy|falling in love|anti villain|super power|good cop bad cop|duringcreditsstinger|live action and animation|lego|father son relationship|loving|mischievous|playful|irreverent,,,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",8.9839,7.422,https://letterboxd.com/film/the-lego-movie/
the life aquatic with steve zissou,The Life Aquatic with Steve Zissou,421,2004,Wes Anderson,Adventure|Comedy|Drama,parent child relationship|red cap|dysfunctional family|rivalry|pirate|magic realism|estranged father|oceanography|scientific expedition|satirical|father son relationship|diorama|research turtles|acoustic guitar|hopeful,,,"Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too",3.649,7.076,https://letterboxd.com/film/the-life-aquatic-with-steve-zissou/
the lighthouse,The Lighthouse,503919,2019,Robert Eggers,Drama|Fantasy|Thriller,island|nightmare|isolation|mermaid|hallucination|lighthouse|based on true story|lighthouse keeper   |black and white|storm|male masturbation|new england|madness|drunkenness|19th century|isolated island|lovecraftian|1890s|awestruck|foreboding,,,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,6.0614,7.477,https://letterboxd.com/film/the-lighthouse/
the lincoln lawyer,The Lincoln Lawyer,50348,2011,Brad Furman,Crime|Drama|Thriller,california|prostitute|based on novel or book|judge|attempted murder|video surveillance|jury|playboy|private investigator|lawyer|crime scene|motorcycle gang|courtroom|defense attorney|divorced father|courtroom drama|car driver|innocent in jail|murder of a prostitute|legal thriller,,,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused o",4.0615,7.209,https://letterboxd.com/film/the-lincoln-lawyer/
the lion king,The Lion King,8587,1994,"Roger Allers, Rob Minkoff",Animation|Family|Drama|Adventure|Comedy,father murder|loss of loved one|africa|lion|cartoon|manipulation|villain|redemption|musical|uncle|coming of age|murder|warthog|shaman|king|scar|family|hyena|meerkat|nature,,,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the",21.1829,8.252,https://letterboxd.com/film/the-lion-king/
